id,title,rating,duration
movie_99,Adagium,"9.1
 (58)",2h 4m
movie_100,Imam Tanpa Makmum,"9.3
 (49)",1h 57m
movie_101,Kleinkinderen van de Oost,"7.2
 (77)",1h 14m
movie_102,The Day Before the Wedding,"5.3
 (108)",1h 10m
movie_103,Wakaf,"4.9
 (9)",1h 28m
movie_104,Kiko in the Deep Sea,"8.0
 (15)",1h 38m
movie_105,Surga di Bawah Langit,"6.9
 (16)",1h 29m
movie_106,The Heart of Suhita,"6.7
 (140)",2h 17m
movie_107,Bismillah Kunikahi Suamimu,"5.3
 (380)",1h 50m
movie_108,Cherish & Ruelle,"9.5
 (53)",1h 12m
movie_109,Dedemit - Diikuti Makhluk Halus,"2.3
 (27)",1h 29m
